,text,created,statusSource,screenName,retweetCount,isRetweet
70,"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",11/23/2016 18:19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vtushar1960,76,TRUE
71,"RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…",11/23/2016 18:19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HRajshri,1868,TRUE
72,#Demonetization and the Indian Economy An Interview by Doordarshan with Sri S.Gurumurthy https://t.co/LdeBCADAeR,11/23/2016 18:18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AllinoneIndia,0,FALSE
73,"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",11/23/2016 18:17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",manickam_sm,11,TRUE
74,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SanalSudev,12,TRUE
75,RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,11/23/2016 18:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VaidyaPriyam,30,TRUE
76,RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,11/23/2016 18:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",imprakrut,2,TRUE
77,"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m…",11/23/2016 18:16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",everG3,1,TRUE
78,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,11/23/2016 18:16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Myth_Busterz,66,TRUE
79,Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia… https://t.co/Axqd8FOwpK,11/23/2016 18:16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ganeshjoshibjp,0,FALSE
80,"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",11/23/2016 18:16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ikumarashok,9,TRUE
81,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,11/23/2016 18:16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ssmalani,637,TRUE
82,"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",11/23/2016 18:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cracklier,59,TRUE
83,"People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",11/23/2016 18:15,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Rohit_V,0,FALSE
84,RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,11/23/2016 18:14,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TussarJitu,331,TRUE
85,"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",11/23/2016 18:14,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",praveentiwari6,15,TRUE
86,"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",11/23/2016 18:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankit_gupta518,9,TRUE
87,RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vv9qtRqqSI,11/23/2016 18:12,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Priyad_01,0,FALSE
88,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",11/23/2016 18:12,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bhartiyalist,112,TRUE
89,RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,11/23/2016 18:12,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChandokSumeet,2,TRUE
90,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ThumbaHasivu,95,TRUE
91,"#demonetization 90 % of population is accepting it as country building measure, why these so called politicians opp… https://t.co/f91j6tZjZ2",11/23/2016 18:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sanjeevkriocl,0,FALSE
